LS,File name:,File ID:,Sample ID:,Operator:,Bar code:,Comment 1:,Comment 2:,Instrument:,Run number:,Start time:,Run length:,Optical model:,Obscuration:,PIDS Obscur:,Obscuration:,,,,,Depth,Serial Number:,,From,To,Volume ,Mean:,Median:,"D(3,2):",Mean/Median ratio:,Mode:,S.D.:,Variance:,Skewness:,Kurtosis:,d10:,d50:,d90:,Specific Surf. Area:,,% <,10,25,50,75,90
 9:48  31 Mar 2017,89B_1_1-36_7890_01.$ls,89B_1_1-36,,,,,,"LS 13 320, Aqueous Liquid Module",7890,3/28/2017 17:55,90,Fraunhofer.rfd   PIDS included,6,61,Low,,,,,0.37,7625,,0.03999,2000,100,4.07135,4.52485,2.19601,0.899776,4.87734,2.80242,7.85358,-0.584109,-0.0832257,0.954175,4.52485,15.3486,27322.3,,Size ,45.0957,78.4718,100,100,100
 9:48  31 Mar 2017,89B_1_2-72_7891_01.$ls,89B_1_2-72,,,,,,"LS 13 320, Aqueous Liquid Module",7891,3/28/2017 18:12,90,Fraunhofer.rfd   PIDS included,8,63,OK,,,,,2.24,7625,,0.03999,2000,100,3.81295,4.288,2.03093,0.889213,4.87734,2.83161,8.01803,-0.584866,-0.0648436,0.862218,4.288,14.6644,29543,,Size ,47.1299,80.9379,100,100,100
 9:48  31 Mar 2017,89B_1_4-55_7892_01.$ls,89B_1_4-55,,,,,,"LS 13 320, Aqueous Liquid Module",7892,3/28/2017 18:23,90,Fraunhofer.rfd   PIDS included,8,46,OK,,,,,5.09,7625,,0.03999,2000,100,9.2924,11.6292,3.73376,0.799057,14.9377,3.20028,10.2418,-0.944478,0.688857,1.88759,11.6292,35.9817,16069.6,,Size ,20.0801,44.6554,100,100,100
 9:48  31 Mar 2017,89B_2_3-84_7893_01.$ls,89B_2_3-84,,,,,,"LS 13 320, Aqueous Liquid Module",7893,3/28/2017 18:34,90,Fraunhofer.rfd   PIDS included,11,78,OK,,,,,9.55,7625,,0.03999,2000,100,2.42588,2.51316,1.56503,0.965272,2.53869,2.53516,6.42704,-0.177794,-0.540001,0.68406,2.51316,8.19417,38337.9,,Size ,68.0847,93.1243,100,100,100
 9:48  31 Mar 2017,89B_2_5-58_7894_01.$ls,89B_2_5-58,,,,,,"LS 13 320, Aqueous Liquid Module",7894,3/28/2017 18:47,90,Fraunhofer.rfd   PIDS included,6,50,Low,,,,,13.79,7625,,0.03999,2000,100,4.8629,5.75408,2.54487,0.845121,18.0014,2.84478,8.09275,-0.719599,-0.143377,1.03787,5.75408,16.8707,23576.8,,Size ,36.8678,70.9512,100,100,100
 9:48  31 Mar 2017,89B_3_3-58_7895_01.$ls,89B_3_3-58,,,,,,"LS 13 320, Aqueous Liquid Module",7895,3/28/2017 18:55,91,Fraunhofer.rfd   PIDS included,7,46,Low,,,,,18.79,7625,,0.03999,2000,100,6.65479,8.77445,3.25309,0.758428,18.0014,2.82802,7.99771,-1.06194,0.474411,1.4612,8.77445,19.1128,18444,,Size ,26.2517,54.8825,100,100,100
 9:48  31 Mar 2017,89B_3_6-80_7896_01.$ls,89B_3_6-80,,,,,,"LS 13 320, Aqueous Liquid Module",7896,3/28/2017 19:02,90,Fraunhofer.rfd   PIDS included,9,53,OK,,,,,23.51,7625,,0.03999,2000,100,11.2719,13.7739,4.51394,0.818354,16.3982,3.12102,9.74077,-1.02946,1.11989,2.39285,13.7739,42.7514,13292.2,,Size ,15.313,36.5931,98.9943,100,100
 9:48  31 Mar 2017,89B_4_3-44_7898_01.$ls,89B_4_3-44,,,,,,"LS 13 320, Aqueous Liquid Module",7898,3/28/2017 19:20,90,Fraunhofer.rfd   PIDS included,7,48,Low,,,,,28.15,7625,,0.03999,2000,100,7.12795,8.88867,3.49149,0.801913,16.3982,2.78528,7.7578,-1.08011,0.826298,1.63843,8.88867,19.2616,17184.6,,Size ,22.8618,54.3207,100,100,100
 9:48  31 Mar 2017,89B_4_6-74_7899_01.$ls,89B_4_6-74,,,,,,"LS 13 320, Aqueous Liquid Module",7899,3/28/2017 19:28,91,Fraunhofer.rfd   PIDS included,13,68,High,,,,,32.95,7625,,0.03999,2000,100,12.8366,15.5582,3.92782,0.825072,18.0014,3.36518,11.3244,-1.1646,1.97592,2.66751,15.5582,51.3062,15275.6,,Size ,13.7484,31.6224,93.4611,99.9939,100
 9:48  31 Mar 2017,89B_5_2-87_7900_01.$ls,89B_5_2-87,,,,,,"LS 13 320, Aqueous Liquid Module",7900,3/28/2017 19:36,89,Fraunhofer.rfd   PIDS included,15,70,High,,,,,36.58,7625,,0.03999,2000,100,16.6999,18.7793,3.82656,0.889273,18.0014,3.83916,14.7392,-1.14985,1.88671,3.27615,18.7793,84.5842,15679.9,,Size ,11.4822,25.9829,83.5357,99.2326,100
 9:48  31 Mar 2017,89B_5_6-105_7901_01.$ls,89B_5_6-105,,,,,,"LS 13 320, Aqueous Liquid Module",7901,3/28/2017 19:46,91,Fraunhofer.rfd   PIDS included,11,66,OK,,,,,42.76,7625,,0.03999,2000,100,8.8185,10.551,3.57937,0.835796,14.9377,3.18241,10.1277,-0.908361,0.848287,1.78507,10.551,35.7929,16762.7,,Size ,18.7556,47.8569,99.865,100,100
 9:48  31 Mar 2017,89B_6_2-70_7902_01.$ls,89B_6_2-70,,,,,,"LS 13 320, Aqueous Liquid Module",7902,3/28/2017 19:54,91,Fraunhofer.rfd   PIDS included,9,59,OK,,,,,45.91,7625,,0.03999,2000,100,8.65531,10.9927,3.61679,0.787365,14.9377,3.02535,9.15274,-1.13011,1.2106,1.77717,10.9927,29.2888,16589.3,,Size ,18.1883,45.8091,100,100,100
 9:48  31 Mar 2017,89B_7_3-90_7903_01.$ls,89B_7_3-90,,,,,,"LS 13 320, Aqueous Liquid Module",7903,3/28/2017 20:03,91,Fraunhofer.rfd   PIDS included,12,67,OK,,,,,57.11,7625,,0.03999,2000,100,9.18099,11.7453,2.87123,0.781672,14.9377,3.41838,11.6853,-1.17211,1.61989,1.66621,11.7453,36.8864,20897,,Size ,18.6065,42.8709,98.8639,100,100
 9:48  31 Mar 2017,89B_7_6-117_7904_01.$ls,89B_7_6-117,,,,,,"LS 13 320, Aqueous Liquid Module",7904,3/28/2017 20:11,90,Fraunhofer.rfd   PIDS included,13,71,High,,,,,61.88,7625,,0.03999,2000,100,8.00626,10.151,2.55479,0.78872,13.6077,3.46967,12.0386,-1.0719,1.32273,1.41907,10.151,33.665,23485.3,,Size ,21.6147,49.358,99.525,100,100
 9:48  31 Mar 2017,89B_8_4-90_7905_01.$ls,89B_8_4-90,,,,,,"LS 13 320, Aqueous Liquid Module",7905,3/29/2017 18:31,90,Fraunhofer.rfd   PIDS included,7,59,Low,,,,,68.11,7625,,0.03999,2000,100,6.45499,8.5191,2.91841,0.757708,16.3982,2.94719,8.68592,-1.11647,0.694548,1.23085,8.5191,18.6471,20559.1,,Size ,25.2633,56.353,100,100,100
 9:48  31 Mar 2017,89B_8_6-107_7906_01.$ls,89B_8_6-107,,,,,,"LS 13 320, Aqueous Liquid Module",7906,3/29/2017 18:42,91,Fraunhofer.rfd   PIDS included,10,73,OK,,,,,71.28,7625,,0.03999,2000,100,3.97045,4.68074,1.80432,0.848253,5.35418,3.11727,9.71735,-0.717735,0.0665496,0.752211,4.68074,15.725,33253.6,,Size ,44.1765,76.6911,100,100,100
 9:48  31 Mar 2017,89B_9_3-115_7909_01.$ls,89B_9_3-115,,,,,,"LS 13 320, Aqueous Liquid Module",7909,3/29/2017 19:09,91,Fraunhofer.rfd   PIDS included,16,73,High,,,,,76.36,7625,,0.03999,2000,100,10.3494,12.1619,2.84116,0.850966,14.9377,3.82212,14.6086,-0.906191,1.13294,1.77842,12.1619,53.4823,21118.1,,Size ,18.3655,42.0225,92.8622,99.9924,100
 9:48  31 Mar 2017,89B_9_6-13_7910_01.$ls,89B_9_6-13,,,,,,"LS 13 320, Aqueous Liquid Module",7910,3/29/2017 19:25,91,Fraunhofer.rfd   PIDS included,8,51,OK,,,,,79.84,7625,,0.03999,2000,100,11.8916,14.6218,3.79362,0.813277,16.3982,3.23268,10.4502,-1.33104,2.31372,2.6958,14.6218,44.6287,15816,,Size ,13.3647,33.0625,97.6148,100,100
 9:48  31 Mar 2017,89B_10_3-72_7911_01.$ls,89B_10_3-72,,,,,,"LS 13 320, Aqueous Liquid Module",7911,3/29/2017 19:33,91,Fraunhofer.rfd   PIDS included,10,49,OK,,,,,84.11,7625,,0.03999,2000,100,12.5171,15.3536,3.08709,0.815256,16.3982,3.80449,14.4742,-1.19668,1.55089,2.1641,15.3536,56.0396,19435.8,,Size ,15.4347,34.7733,94.3198,100,100
 9:48  31 Mar 2017,89B_10_5-60_7912_01.$ls,89B_10_5-60,,,,,,"LS 13 320, Aqueous Liquid Module",7912,3/29/2017 19:42,90,Fraunhofer.rfd   PIDS included,9,53,OK,,,,,86.69,7625,,0.03999,2000,100,11.3171,13.9519,3.01459,0.811151,16.3982,3.6655,13.4359,-1.18174,1.63845,2.08554,13.9519,51.0928,19903.2,,Size ,16.0154,37.1073,96.403,100,100
 9:48  31 Mar 2017,89B_12_4-94_7913_01.$ls,89B_12_4-94,,,,,,"LS 13 320, Aqueous Liquid Module",7913,3/29/2017 19:50,90,Fraunhofer.rfd   PIDS included,8,59,OK,,,,,106.15,7625,,0.03999,2000,100,3.27943,4.17875,1.37339,0.784786,5.35418,3.23425,10.4604,-0.843838,0.200112,0.557936,4.17875,12.7794,43687.5,,Size ,48.3207,83.4236,100,100,100
 9:48  31 Mar 2017,89B_12_6-60_7914_01.$ls,89B_12_6-60,,,,,,"LS 13 320, Aqueous Liquid Module",7914,3/29/2017 19:57,89,Fraunhofer.rfd   PIDS included,7,48,Low,,,,,108.81,7625,,0.03999,2000,100,3.40249,4.2453,1.46219,0.801473,4.87734,3.00801,9.04815,-1.08419,0.906578,0.687035,4.2453,11.4374,41034.4,,Size ,47.5333,84.7435,100,100,100
 9:48  31 Mar 2017,89B_14_3-88_7915_01.$ls,89B_14_3-88,,,,,,"LS 13 320, Aqueous Liquid Module",7915,3/29/2017 20:05,90,Fraunhofer.rfd   PIDS included,7,56,Low,,,,,123.59,7625,,0.03999,2000,100,2.84702,3.4884,1.31071,0.816139,4.44297,2.99565,8.97395,-0.872073,0.413226,0.575219,3.4884,10.1395,45776.6,,Size ,55.6007,89.6381,100,100,100
 9:48  31 Mar 2017,89B_14_6-64_7916_01.$ls,89B_14_6-64,,,,,,"LS 13 320, Aqueous Liquid Module",7916,3/29/2017 20:12,90,Fraunhofer.rfd   PIDS included,7,53,Low,,,,,127.85,7625,,0.03999,2000,100,2.80292,3.50847,1.21804,0.798902,4.44297,3.09669,9.58951,-0.922175,0.454913,0.517357,3.50847,10.1787,49259.5,,Size ,55.4654,89.5419,100,100,100
